Hour_Counter,2-hr,4-hr,8-hr,12-hr,24-hr,48-hr,120-hr
250,125,63,32,21,11,6,3
251,126,63,32,21,11,6,3
252,126,63,32,21,11,6,3
253,127,64,32,22,11,6,3
254,127,64,32,22,11,6,3
255,128,64,32,22,11,6,3
256,128,64,32,22,11,6,3
257,129,65,33,22,11,6,3
258,129,65,33,22,11,6,3
259,130,65,33,22,11,6,3
260,130,65,33,22,11,6,3
261,131,66,33,22,11,6,3
262,131,66,33,22,11,6,3
263,132,66,33,22,11,6,3
264,132,66,33,22,11,6,3
265,133,67,34,23,12,6,3
266,133,67,34,23,12,6,3
267,134,67,34,23,12,6,3
268,134,67,34,23,12,6,3
269,135,68,34,23,12,6,3
270,135,68,34,23,12,6,3
271,136,68,34,23,12,6,3
272,136,68,34,23,12,6,3
273,137,69,35,23,12,6,3
274,137,69,35,23,12,6,3
275,138,69,35,23,12,6,3
276,138,69,35,23,12,6,3
277,139,70,35,24,12,6,3
278,139,70,35,24,12,6,3
279,140,70,35,24,12,6,3
280,140,70,35,24,12,6,3
281,141,71,36,24,12,6,3
282,141,71,36,24,12,6,3
283,142,71,36,24,12,6,3
284,142,71,36,24,12,6,3
285,143,72,36,24,12,6,3
286,143,72,36,24,12,6,3
287,144,72,36,24,12,6,3
288,144,72,36,24,12,6,3
289,145,73,37,25,13,7,3
290,145,73,37,25,13,7,3
291,146,73,37,25,13,7,3
292,146,73,37,25,13,7,3
293,147,74,37,25,13,7,3
294,147,74,37,25,13,7,3
295,148,74,37,25,13,7,3
296,148,74,37,25,13,7,3
297,149,75,38,25,13,7,3
298,149,75,38,25,13,7,3
299,150,75,38,25,13,7,3
300,150,75,38,25,13,7,3
301,151,76,38,26,13,7,3
302,151,76,38,26,13,7,3
303,152,76,38,26,13,7,3
304,152,76,38,26,13,7,3
305,153,77,39,26,13,7,3
306,153,77,39,26,13,7,3
307,154,77,39,26,13,7,3
308,154,77,39,26,13,7,3
309,155,78,39,26,13,7,3
310,155,78,39,26,13,7,3
311,156,78,39,26,13,7,3
312,156,78,39,26,13,7,3
313,157,79,40,27,14,7,3
314,157,79,40,27,14,7,3
315,158,79,40,27,14,7,3
316,158,79,40,27,14,7,3
317,159,80,40,27,14,7,3
318,159,80,40,27,14,7,3
319,160,80,40,27,14,7,3
320,160,80,40,27,14,7,3
321,161,81,41,27,14,7,3
